title,description,date,link,content,top_word_1,top_word_1_count,top_word_2,top_word_2_count,top_word_3,top_word_3_count,top_word_4,top_word_4_count,top_word_5,top_word_5_count,top_word_6,top_word_6_count,top_word_7,top_word_7_count,top_word_8,top_word_8_count,top_word_9,top_word_9_count,top_word_10,top_word_10_count
Russia imposes state of federal-level emergency due to fuel oil spill in Black Sea,"Alexander Kurenkov noted that ""this classification will enable the deployment of additional resources and personnel from federal executive authorities and state corporations, as well as provide necessary financial assistance to the affected entities from the Russian government’s reserve fund""",2024-12-26 17:12:25,https://tass.com/emergencies/1893901,"Alexander Kurenkov noted that ""this classification will enable the deployment of additional resources and personnel from federal executive authorities and state corporations, as well as provide necessary financial assistance to the affected entities from the Russian government’s reserve fund"" MOSCOW, December 26. /TASS/. A state of federal-level emergency has been introduced following a fuel oil spill in the Black Sea caused by the tankers accident, the Russian Emergencies Ministry told TASS. ""Given the current situation and the reports we have received, I propose classifying the emergency caused by the tanker wreck in the Kerch Strait as a federal-level incident and initiating a federal-level response,"" Russian Emergencies Minister Alexander Kurenkov stated. He noted that ""this classification will enable the deployment of additional resources and personnel from federal executive authorities and state corporations, as well as provide necessary financial assistance to the affected entities from the Russian government’s reserve fund."" According to the ministry, the total length of the observed area along the Krasnodar Region's coast is currently 220 kilometers. ""Cleanup efforts continue in five sectors - one near Temryuk and four others in Anapa,"" the ministry reported. ""Approximately 30,000 tons of contaminated sand and soil have been collected, with more than 23,500 tons transported to collection sites,"" the agency added. A total of 295 square kilometers of water area in the Kerch Strait have been surveyed. The treated water area now covers more than 29,000 square kilometers. Additionally, 450 meters of booms have been deployed. In the seaport of Anapa, approximately 5 square kilometers of coastline have been cleaned. Volunteers have rescued 1,154 birds. Over 10,000 people and 360 pieces of equipment are currently involved in the emergency response efforts.",federal,5,russian,4,kilometers,4,state,3,level,3,emergency,3,ministry,3,area,3,square,3,alexander,2
"Events like the BRICS Media Summit should be held regularly, says Russian top diplomat","According to Sergey Lavrov, such formats ""really create alternative platforms for access to information for the population of the global South, the global East, and interested citizens of Western countries""",2024-12-26 17:02:57,https://tass.com/society/1893893,"According to Sergey Lavrov, such formats ""really create alternative platforms for access to information for the population of the global South, the global East, and interested citizens of Western countries"" MOSCOW, December 26. /TASS/. Events like the BRICS Media Summit organized by TASS in September 2024 provide alternative information and should be held regularly, Russian Foreign Minister Sergey Lavrov said in an interview with Russian and foreign media outlets on Thursday. ""We are interested in further strengthening media cooperation within BRICS. In September, during Russia's chairmanship in the association, a BRICS Media Summit was held in Moscow, organized by the Russian news agency TASS with the support of the Chinese side. Representatives of 60 media outlets from 45 countries attended the meeting. In October, Kazan Federal University became a venue for a roundtable called the BRICS Media Dialogue. I am sure that such events should be held regularly and conducted more often,"" the minister said. Such formats help to ""establish alternative platforms that provide access to information for the population of the global South, global East, and interested citizens of Western countries."" ""More and more people would like to know the truth about what is happening outside the European Union and NATO,"" Lavrov added. According to him, such formats ""really create alternative platforms for access to information for the population of the global South, the global East, and interested citizens of Western countries."" ""And there are more and more of them who would like to know the truth about what is happening outside the European Union and NATO,"" Lavrov added. ""Too many rumors and deliberate fakes"" about BRICS activities are spread in the West today to dissuade the countries of the global South from the association, Lavrov noted. Raising awareness of the principles on which BRICS operates is of great importance, he added. The BRICS Media Summit was held from September 13 to 17 in Moscow. The summit was attended by heads and leading specialists of more than 60 media outlets from 45 countries. The BRICS Media Summit was held for the first time as a new format of the BRICS Media Forum, a non-governmental, non-profit platform for dialogue between leading media outlets of the BRICS member states. The BRICS Media Forum was established in 2015 at the initiative of Xinhua News Agency and has been organized in a country that holds BRICS presidency ever since.",brics,12,media,12,global,7,countries,6,lavrov,5,summit,5,held,5,alternative,4,information,4,south,4
Russian PM to visit Vietnam in January 2025 — ambassador,Gennady Bezdetko recalled that Vietnamese Prime Minister Pham Minh Chinh visited Russia in October 2024 to attend the BRICS Plus/Outreach meeting in Kazan,2024-12-26 15:12:59,https://tass.com/politics/1893813,"Gennady Bezdetko recalled that Vietnamese Prime Minister Pham Minh Chinh visited Russia in October 2024 to attend the BRICS Plus/Outreach meeting in Kazan HANOI, December 26. /TASS/. Russian Prime Minister Mikhail Mishustin will pay an official visit to Vietnam in January 2025, Russia's Ambassador to Hanoi Gennady Bezdetko stated at a press conference in the Vietnamese capital. ""In January 2025, Russian Prime Minister Mikhail Mishustin will pay a visit to Vietnam. This significant event will encompass the discussion of further development of trade and economic relations and an exchange of views in a broad context,"" the ambassador said. Bezdetko recalled that Vietnamese Prime Minister Pham Minh Chinh visited Russia in October 2024 to attend the BRICS Plus/Outreach meeting in Kazan. ""The head of the Vietnamese delegation was received by Russian President Vladimir Putin on the sidelines of the summit, which is the clearest evidence of Russia's top leadership's special attention to Vietnam. During the conversation, which took place in a warm and trustworthy atmosphere, the parties discussed a wide range of topical issues on the bilateral agenda and set directions for the future,"" the diplomat noted. ""For its part, Russia is always ready to expand practical cooperation with Vietnam in a wide range of areas and hopes that the countries' traditional cooperation will be strengthened based on agreements reached at high and highest levels,"" the ambassador emphasized.",russia,5,vietnamese,4,prime,4,minister,4,vietnam,4,bezdetko,3,russian,3,ambassador,3,gennady,2,recalled,2
Invitation to Cuba to join BRICS reflects its prestige in Global South — Russian envoy,"According to Viktor Koronelli, new opportunities will now open up for Cuba to cooperate with nations ""that are jointly building a multipolar, more just and representative world""",2024-12-26 15:06:12,https://tass.com/politics/1893803,"According to Viktor Koronelli, new opportunities will now open up for Cuba to cooperate with nations ""that are jointly building a multipolar, more just and representative world"" HAVANA, December 26. /TASS/. The invitation extended to Cuba to join BRICS as a partner country highlights its prestigious role in the Global South, Russian Ambassador to Havana Viktor Koronelli said. ""The invitation to join the BRICS family as a partner state, which will take effect in January 2025, reflects Cuba’s prestige among countries in the Global South,"" the Russian diplomat told Cuban weekly Opciones in an interview. He expressed confidence that the status of a partner country would benefit Cuba in many ways. Among other things, it would provide ""access to cooperation and trade mechanisms in one of the most influential centers of the new world that we currently see taking shape,"" the ambassador argued. According to him, new opportunities will now open up for Cuba to cooperate with nations ""that are jointly building a multipolar, more just and representative world in which there is no place for such neocolonial practices as sanctions, but rather mutual respect and understanding."" ""As time has passed, it has become clear that gambles by Washington and its allies and their plans to isolate Russia and weaken its economy have completely failed,"" Koronelli noted. ""The BRICS summit in Kazan showed that countries in the Global South have not been fooled <…> and are ready to cooperate with our country on a wide range of issues, including in economy and trade,"" he continued. Commenting on Cuba’s participation in another integration association, the Eurasian Economic Union (EAEU), the ambassador recalled that the Caribbean republic remains the only Latin American and Caribbean country to have the status of an observer state at the EAEU. Cuban President Miguel Diaz-Canel for the first time took part in a meeting of the Supreme Eurasian Economic Council in Moscow in May. ""We coincide in the opinion that Cuba could become a bridge between the Latin American region and the EAEU,"" Koronolli emphasized. The 16th BRICS summit, which was the key event of Russia’s chairmanship in the association, was held in Kazan on October 22-24. The Cuban president could not come as he was personally spearheading efforts to restore the country’s power grid and repair the damage done by Hurricane Rafael at that time. He dispatched the foreign minister for the BRICS Summit. On December 23, Kremlin Aide Yury Ushakov said that one of the significant results of the BRICS Summit in Kazan was the creation of the BRICS partner country category — thirteen countries were offered this status. Belarus, Bolivia, Cuba, Indonesia, Kazakhstan, Malaysia, Thailand, Uganda, and Uzbekistan have already confirmed their readiness to become BRICS partners, Ushakov said, adding that from January 1, 2025, ""they will officially acquire the status."".",cuba,8,brics,8,country,6,partner,4,status,4,summit,4,koronelli,3,new,3,cooperate,3,world,3
Russia expects to restore pre-pandemic level of tourist flow to Vietnam — ambassador,"Gennady Bezdetko noted that in order to achieve this goal, the parties must also resolve issues related to the full restoration of direct air traffic between the two countries as soon as possible",2024-12-26 15:04:20,https://tass.com/economy/1893799,"Gennady Bezdetko noted that in order to achieve this goal, the parties must also resolve issues related to the full restoration of direct air traffic between the two countries as soon as possible HANOI, December 26. /TASS/. Thanks to the partial restoration of direct flights between Russia and Vietnam after the COVID-19 pandemic, the flow of Russian tourists arriving in Vietnam has increased again and the Russian side expects it to further rise to the pre-pandemic level, Russian Ambassador to Vietnam Gennady Bezdetko said at a press conference in Hanoi. ""Thanks to the partial resumption of direct flights by Aeroflot and Iraero, the flow of Russian tourists to Vietnam has increased once again. We expect to return to the pre-pandemic level, when the figure reached 650,000 people per year,"" the diplomat said. The ambassador noted that in order to achieve this goal, the parties must also resolve issues related to the full restoration of direct air traffic between the two countries as soon as possible. ""Our authorized companies agreed to resume direct flights between Moscow and Ho Chi Minh City. But our Vietnamese partners agreed only to a small part of the foreign aircraft offered by the Russian side and the Vietnamese carrier Vietnam Airlines, unfortunately, does not yet fly to Russia,"" the diplomat said. ""We hope that our Vietnamese partners will find a way to solve the current problems and resume flights to Russia, which are in great demand among people and business representatives of both countries,"" Bezdetko noted.",direct,5,vietnam,5,russian,5,flights,4,bezdetko,3,noted,3,restoration,3,countries,3,russia,3,pandemic,3
"Lukashenko, Putin discuss regional security, bilateral relations","The presidents also talked about cooperation between the countries in a variety of areas, including economy",2024-12-26 14:57:36,https://tass.com/world/1893797,"The presidents also talked about cooperation between the countries in a variety of areas, including economy IGORA /Leningrad Region/, December 26. /TASS/. Presidents of Belarus and Russia Alexander Lukashenko and Vladimir Putin discussed regional security and bilateral relations during a one-on-one meeting on Wednesday, said Natalia Eismont, spokeswoman of the Belarusian leader. ""You and I understand that presidents can never sidestep security issues. The number one item on the agenda is security issues in general, regional security, the situation that is unfolding now, as it is changing literally by the hour, if not by the minute. So, of course, these are number one issues,"" she said. According to the spokeswoman, they also talked about cooperation between the countries in a variety of areas, including economy. ""Of course, the Supreme State Council held a meeting fairly recently, but nevertheless the governments are working and doing it very well, vigorously. The presidents are always in touch, through formats including telephone conversations, and here, they always find an opportunity to discuss issues on the bilateral agenda,"" Eismont said. She also said, citing the Belarusian leader, that the presidents spoke not only about government matters, but also personal ones.",presidents,5,security,4,one,4,said,4,issues,4,including,3,talked,2,cooperation,2,countries,2,variety,2
Ukrainian shelling has killed over 50 children in Russia since end of 2023 — lawmaker,"According to Anna Kuznetsova, the State Duma will continue to gather facts of the Kiev regime's crimes against children",2024-12-26 14:28:10,https://tass.com/politics/1893787,"According to Anna Kuznetsova, the State Duma will continue to gather facts of the Kiev regime's crimes against children DONETSK, December 26. /TASS/. More than 50 children have been killed and more than 200 others wounded in Ukrainian strikes in the special military operation area and other Russian regions, State Duma Deputy Speaker Anna Kuznetsova told reporters. ""Right now we are still collecting data. Unfortunately, more than 50 children have been killed just since the end of last year, and more than 200 wounded. The figures will be verified. It is horrible to say these figures, but the enemy continues to hit children, residential houses,"" she said. According to the lawmaker, the State Duma will continue to gather facts of the Kiev regime's crimes against children. ""It is now necessary to say one thing loud and clear: We did everything we could to protect the children that stayed over to wait for our troops,"" she said.",children,6,state,3,duma,3,according,2,anna,2,kuznetsova,2,continue,2,gather,2,facts,2,kiev,2
"Russia sees prevention of Syria's disintegration as essential, says Russian top diplomat","Sergey Lavrov stressed the need to ""address problems in eastern Syria, a significant part of which has been illegally occupied by the US, namely its most fertile lands with the main oil fields""",2024-12-26 14:21:37,https://tass.com/politics/1893783,"Sergey Lavrov stressed the need to ""address problems in eastern Syria, a significant part of which has been illegally occupied by the US, namely its most fertile lands with the main oil fields"" MOSCOW, December 26. /TASS/. The US and Israeli actions in Syria are likely to result in the disintegration of the country and violate the principle of indivisible security, Russian Foreign Minister Sergey Lavrov stated in an interview with domestic and foreign media outlets on Thursday. ""We should prevent the Syrian state from fragmenting that some would like to see,"" the Russian top diplomat noted. Lavrov stressed the need to ""address problems in eastern Syria, a significant part of which has been illegally occupied by the US, namely its most fertile lands with the main oil fields."" ""Everything is extracted, exported, and the money goes to support the separatist structures that the US has created in eastern Syria. All of this must be taken into account,"" Lavrov stated. ""Israel should understand its responsibility for shared efforts and abandon any attempts to ensure its security at the expense of the security of others,"" the Russian foreign minister stressed. ""This is a longstanding principle of indivisible security,"" he emphasized. ""One cannot expect that destroying all military facilities of a neighbor will guarantee peace and stability indefinitely. This is called sowing a storm, which will surely return to those who created it,"" Lavrov said.",lavrov,5,syria,4,us,4,security,4,stressed,3,eastern,3,russian,3,foreign,3,sergey,2,need,2
Ukraine needs to hold elections if it wants a legitimate president — Russia’s top diplomat,"However, Sergey Lavrov noted, the most crucial thing at the moment is to address the root cause of this crisis instead of forming a so-called negotiating team on behalf of the Kiev regime",2024-12-26 14:21:21,https://tass.com/politics/1893785,"However, Sergey Lavrov noted, the most crucial thing at the moment is to address the root cause of this crisis instead of forming a so-called negotiating team on behalf of the Kiev regime MOSCOW, December 26. /TASS/. Ukraine must hold elections if it wishes to have a legitimate president, and as of now, the country’s parliament, the Verkhovna Rada, is the only legitimate authority in the country, Russian Foreign Minister Sergey Lavrov stated on Thursday. ""Regarding the legitimacy of the so-called current Ukrainian government, President [of Russia Vladimir Putin] clearly stated during his recent year-end press conference that Ukrainians should deal with this issue on their own to bring the situation in Kiev in line with the Ukrainian Constitution,"" Lavrov said in an interview with Russian and international media. ""In order to achieve this goal, if they genuinely want a legitimate president, they must hold elections. As of now, and according to the [Ukrainian] Constitution as [Russian President] Putin previously explained, only the Verkhovna Rada and its chairman are legitimate,"" Lavrov added. However, the Russian minister continued, the most crucial thing at the moment is to address the root cause of this crisis instead of forming a so-called negotiating team on behalf of the Kiev regime, because it would be impossible to reach any agreement without resolving the initial issue. ""I have already outlined these root causes in detail, and I truly hope that all those who are interested in advancing the negotiations understand what is at stake,"" Lavrov stated. ""I would like to emphasize that these are not prerequisites, but rather something that all participants involved in this process, this conflict, should have addressed long ago in accordance with the obligations they have already undertaken, including in line with the UN Charter, the principles of which should be rigorously followed,"" he stressed. Russia’s top diplomat pointed out that a temporary ceasefire on the frontline, to be resumed later, is unacceptable. ""We need final, legally binding agreements that will set out conditions for ensuring Russia’s security and, of course, the legitimate interests of our neighbors, but in a manner based on international law, which will make it impossible to violate those agreements,"" he concluded.",lavrov,5,legitimate,5,president,4,russian,4,root,3,called,3,kiev,3,stated,3,ukrainian,3,russia,3
"Russia ready to assist Syria in organizing elections, top diplomat says","The framework of the election campaign is yet to be agreed upon, Sergey Lavrov said",2024-12-26 13:54:31,https://tass.com/politics/1893769,"The framework of the election campaign is yet to be agreed upon, Sergey Lavrov said MOSCOW, December 26. /TASS/. The Russian side is ready to assist the organization of undeniable and generally recognized elections in Syria, Russian Foreign Minister Sergey Lavrov stated in an interview with domestic and foreign media outlets on Thursday. ""Russia is ready to support the consolidation of all processes in Syria and the organization of elections so that they are recognized by everyone and raise zero questions,"" the Russian foreign minister said. ""We discuss this topic with Saudi Arabia, Iraq, Jordan, Egypt, Qatar, UAE, Bahrain, Lebanon. All these countries want to prevent Syria from repeating the path that the Libyan state took after NATO simply destroyed that state,"" he added. The framework of the election campaign is yet to be agreed upon, Lavrov said. ""All leading countries emphasize the need to make this process inclusive, so that Syrian people of all political and ethno-confessional groups can participate in the election campaign and in the elections themselves,"" he pointed out. ""The process is not an easy one, but we are ready to facilitate it."".",election,3,campaign,3,lavrov,3,said,3,russian,3,ready,3,elections,3,syria,3,foreign,3,framework,2
